name,region,geo_lat,geo_lon
Биробиджан,Еврейская автономная область,48.7946446,132.9217207
Облучье,Еврейская автономная область,49.0189345,131.0540102
Балей,Забайкальский край,51.5823759,116.6379549
Борзя,Забайкальский край,50.3876058,116.5234779
Краснокаменск,Забайкальский край,50.0929703,118.0323936
Могоча,Забайкальский край,53.7361398,119.7660867
Нерчинск,Забайкальский край,51.9594977,116.5852383
Петровск-Забайкальский,Забайкальский край,51.2748592,108.846681
Сретенск,Забайкальский край,52.2461454,117.7117842
Хилок,Забайкальский край,51.3634856,110.4590898
Чита,Забайкальский край,52.0340142,113.4994
Шилка,Забайкальский край,51.8497035,116.0334461
Вичуга,Ивановская область,57.2044698,41.9132201
Гаврилов Посад,Ивановская область,56.5586946,40.1228906
Заволжск,Ивановская область,57.4918141,42.1375625
Иваново,Ивановская область,56.9993792,40.9728272
Кинешма,Ивановская область,57.4425463,42.168914
Комсомольск,Ивановская область,57.0273052,40.3776851
Кохма,Ивановская область,56.9324606,41.0931657
Наволоки,Ивановская область,57.4679066,41.9608002
Плес,Ивановская область,57.4606031,41.5122672
Приволжск,Ивановская область,57.3805743,41.2808565
Пучеж,Ивановская область,56.9820688,43.1683321
Родники,Ивановская область,57.1025975,41.7298834
Тейково,Ивановская область,56.8542719,40.5353874
Фурманов,Ивановская область,57.2539276,41.1054432
Шуя,Ивановская область,56.8560234,41.3800939
Южа,Ивановская область,56.5926877,42.0458099
Юрьевец,Ивановская область,57.3177781,43.1110401
Карабулак,Ингушетия,43.3055248,44.9094582
Магас,Ингушетия,43.1688611,44.8131207
Малгобек,Ингушетия,43.5096646,44.5901963
Назрань,Ингушетия,43.2257841,44.7645779
Сунжа,Ингушетия,43.3204196,45.0476331
Алзамай,Иркутская область,55.5551233,98.6643699
Ангарск,Иркутская область,52.544879,103.888543
Байкальск,Иркутская область,51.5230393,104.1487532
Бирюсинск,Иркутская область,55.9609167,97.8205348
Бодайбо,Иркутская область,57.8468636,114.1866287
Братск,Иркутская область,56.1513108,101.6340035
Вихоревка,Иркутская область,56.1208145,101.1702926
Железногорск-Илимский,Иркутская область,56.5847888,104.114275
Зима,Иркутская область,53.920693,102.0491772
Иркутск,Иркутская область,52.2864036,104.2807466
Киренск,Иркутская область,57.7756595,108.1109412
Нижнеудинск,Иркутская область,54.8968931,99.0314056
Саянск,Иркутская область,54.1107238,102.18015
Свирск,Иркутская область,53.0842668,103.3364093
Слюдянка,Иркутская область,51.6563983,103.7187545
Тайшет,Иркутская область,55.9405334,98.0030145
Тулун,Иркутская область,54.557162,100.5780603
Усолье-Сибирское,Иркутская область,52.7565808,103.6388109
Усть-Илимск,Иркутская область,57.9430504,102.7415734
Усть-Кут,Иркутская область,56.7928178,105.7757343
Черемхово,Иркутская область,53.1369095,103.0901268
Шелехов,Иркутская область,52.2102538,104.0973294
Баксан,Кабардино-Балкарская,43.6819137,43.5345036
Майский,Кабардино-Балкарская,43.6281516,44.0517314
Нальчик,Кабардино-Балкарская,43.4845464,43.60713
Нарткала,Кабардино-Балкарская,43.5578075,43.8575925
Прохладный,Кабардино-Балкарская,43.7589602,44.0102409
Терек,Кабардино-Балкарская,43.4839358,44.1402161
Тырныауз,Кабардино-Балкарская,43.3981585,42.9213582
Чегем,Кабардино-Балкарская,43.5671525,43.5865792
Багратионовск,Калининградская область,54.3866518,20.6418091
Балтийск,Калининградская область,54.6513372,19.9140572
Гвардейск,Калининградская область,54.6588378,21.0501388
Гурьевск,Калининградская область,54.770638,20.6039767
Гусев,Калининградская область,54.5915455,22.1942445
Зеленоградск,Калининградская область,54.9600185,20.4753652
Калининград,Калининградская область,54.7074702,20.5073241
Краснознаменск,Калининградская область,54.9453423,22.4928745
Ладушкин,Калининградская область,54.5692156,20.1690153
Мамоново,Калининградская область,54.4646036,19.9453482
Неман,Калининградская область,55.0316524,22.0324064
Нестеров,Калининградская область,54.6313814,22.5713736
Озерск,Калининградская область,54.4084705,22.0134438
Пионерский,Калининградская область,54.9516574,20.2277424
Полесск,Калининградская область,54.8625126,21.0998067
Правдинск,Калининградская область,54.4430986,21.0085269
Приморск,Калининградская область,54.7311437,19.9981926
Светлогорск,Калининградская область,54.9439286,20.1514295
Светлый,Калининградская область,54.6772897,20.1357595
Славск,Калининградская область,55.0449714,21.6742367
Советск,Калининградская область,55.0809336,21.8886106
Черняховск,Калининградская область,54.6244751,21.7969062
Городовиковск,Калмыкия,46.0875083,41.935537
Лагань,Калмыкия,45.3930912,47.3432602
Элиста,Калмыкия,46.3083344,44.2702088
Балабаново,Калужская область,55.1773714,36.6566951
Белоусово,Калужская область,55.0956803,36.677629
Боровск,Калужская область,55.2130096,36.4926251
Ермолино,Калужская область,55.1971758,36.5952722
Жиздра,Калужская область,53.7521926,34.7386592
Жуков,Калужская область,55.0301833,36.7394903
Калуга,Калужская область,54.5059848,36.2516245
Киров,Калужская область,54.0790111,34.3076201
Козельск,Калужская область,54.0347201,35.780768
Кондрово,Калужская область,54.7959473,35.9274842
Кременки,Калужская область,54.8862447,37.1168701
Людиново,Калужская область,53.8700828,34.4385915
Малоярославец,Калужская область,55.0177123,36.4633603
Медынь,Калужская область,54.9689785,35.8872168
Мещовск,Калужская область,54.3191471,35.2816918
Мосальск,Калужская область,54.4824939,34.9872239
Обнинск,Калужская область,55.0943144,36.6121639
Сосенский,Калужская область,54.0566016,35.9621646
Спас-Деменск,Калужская область,54.409922,34.0189631
Сухиничи,Калужская область,54.097296,35.3443568
Таруса,Калужская область,54.7236477,37.1671
Юхнов,Калужская область,54.7446445,35.2424346
Вилючинск,Камчатский край,52.9302415,158.4057632
Елизово,Камчатский край,53.1830375,158.3883548
Петропавловск-Камчатский,Камчатский край,53.036908,158.6559254
Карачаевск,Карачаево-Черкесская,43.7732525,41.9143472
Теберда,Карачаево-Черкесская,43.4437731,41.7415142
Усть-Джегута,Карачаево-Черкесская,44.0838442,41.9711046
Черкесск,Карачаево-Черкесская,44.2269425,42.0466704
Беломорск,Карелия,64.5378417,34.7799462
Кемь,Карелия,64.9543539,34.5949263
Кондопога,Карелия,62.2059817,34.2682122
Костомукша,Карелия,64.5889398,30.6016832
Лахденпохья,Карелия,61.518881,30.1996116
Медвежьегорск,Карелия,62.9127626,34.4568489
Олонец,Карелия,60.9794025,32.9725519
Петрозаводск,Карелия,61.7891264,34.3596434
Питкяранта,Карелия,61.5757191,31.4640557
Пудож,Карелия,61.8058821,36.5329941
Сегежа,Карелия,63.7437572,34.3126982
Сортавала,Карелия,61.703367,30.6916998
Суоярви,Карелия,62.0787293,32.3499386
Анжеро-Судженск,Кемеровская область - Кузбасс область,56.0786281,86.0201278
Белово,Кемеровская область - Кузбасс область,54.4220968,86.3037373
Березовский,Кемеровская область - Кузбасс область,55.6693513,86.2744459
Гурьевск,Кемеровская область - Кузбасс область,54.2859263,85.9475985
Калтан,Кемеровская область - Кузбасс область,53.5210919,87.2771636
Кемерово,Кемеровская область - Кузбасс область,55.3910651,86.0467781
Киселевск,Кемеровская область - Кузбасс область,54.0059999,86.6366116
Ленинск-Кузнецкий,Кемеровская область - Кузбасс область,54.6674492,86.1797324
Мариинск,Кемеровская область - Кузбасс область,56.2127383,87.7454924
Междуреченск,Кемеровская область - Кузбасс область,53.6865289,88.0702754
Мыски,Кемеровская область - Кузбасс область,53.7125695,87.8055646
Новокузнецк,Кемеровская область - Кузбасс область,53.794315,87.2142745
Осинники,Кемеровская область - Кузбасс область,53.5988055,87.3371272
Полысаево,Кемеровская область - Кузбасс область,54.6055,86.2809208
Прокопьевск,Кемеровская область - Кузбасс область,53.8604265,86.7183577
Салаир,Кемеровская область - Кузбасс область,54.2351735,85.8030733
Тайга,Кемеровская область - Кузбасс область,56.0622131,85.6207182
Таштагол,Кемеровская область - Кузбасс область,52.759313,87.8476546
Топки,Кемеровская область - Кузбасс область,55.2764707,85.6152619
Юрга,Кемеровская область - Кузбасс область,55.7202694,84.8886399
Белая Холуница,Кировская область,58.8415239,50.8460699
Вятские Поляны,Кировская область,56.2284817,51.0614855
Зуевка,Кировская область,58.4032152,51.1331606
Киров,Кировская область,58.6035264,49.6679304
Кирово-Чепецк,Кировская область,58.5559424,50.0316848
Кирс,Кировская область,59.340056,52.2414437
Котельнич,Кировская область,58.3034832,48.3475597
Луза,Кировская область,60.6290609,47.2612445
Малмыж,Кировская область,56.5243844,50.6782739
Мураши,Кировская область,59.3955383,48.9638417
Нолинск,Кировская область,57.5597284,49.93575
Омутнинск,Кировская область,58.6698913,52.1894564
Орлов,Кировская область,58.5389776,48.8927723
Слободской,Кировская область,58.7311574,50.1669249
Советск,Кировская область,57.584196,48.9590272
Сосновка,Кировская область,56.2532741,51.2833642
Уржум,Кировская область,57.1097477,50.0058097
Яранск,Кировская область,57.3040326,47.8478737
Воркута,Коми,67.4974082,64.061034
Вуктыл,Коми,63.8615274,57.3165402
Емва,Коми,62.5965137,50.8732125
Инта,Коми,66.0367316,60.1152961
Микунь,Коми,62.3579068,50.0719503
Печора,Коми,65.148584,57.2239777
Сосногорск,Коми,63.5989841,53.876293
Сыктывкар,Коми,61.6686617,50.8358151
Усинск,Коми,65.994147,57.5569423
Ухта,Коми,63.5565514,53.7014239
Буй,Костромская область,58.4733277,41.5306822
Волгореченск,Костромская область,57.4424559,41.1594201
Галич,Костромская область,58.3828191,42.3654013
Кологрив,Костромская область,58.8269323,44.3184927
Кострома,Костромская область,57.768,40.927
Макарьев,Костромская область,57.8807152,43.8014197
Мантурово,Костромская область,58.3265441,44.757494
Нерехта,Костромская область,57.4543369,40.5723598
Нея,Костромская область,58.2943349,43.8780948
